,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
12,1262.3511099815369,1.87623127301534,0.42182498501834337,0.6891707771505988,0.9,0.3,0.071,3,0.9,"{'subsample': 0.9, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.3}",12,0.42539571184285524,0.6862310896733173,0.41929401447051085,0.686551784618083,0.4207849155886867,0.6947294571603964,5.174941915584505,0.07692796187870571,0.0025973173944044497,0.003932760175787594
13,1319.934829711914,1.7456973393758137,0.421138021252028,0.6751246822277818,0.9,0.3,0.071,3,1.0,"{'subsample': 1.0, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.3}",27,0.4260095584688911,0.6805086603814953,0.418636263977198,0.6749978075944927,0.41876781407586056,0.6698675787073577,5.3482058906883605,0.02240030020387099,0.003445266640609534,0.004345129662687167
14,1273.6859036286671,1.9417109489440918,0.4219565312714676,0.6816068733609474,0.9,0.3,0.071,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.3}",10,0.42640417415705706,0.679061609296207,0.41964481473361104,0.6792072261685521,0.41982021486516113,0.686551784618083,7.881568543403491,0.03662878599720899,0.003145911382088576,0.003497085603192832
15,1313.672879378001,1.6746768951416016,0.4223657862811874,0.668510783331186,0.9,0.3,0.071,5,1.0,"{'subsample': 1.0, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.3}",5,0.4261849432191871,0.6707739530804648,0.42122341591756196,0.6667105147768131,0.4196886647664986,0.66804788213628,1.705076861429766,0.029496273205929003,0.0027723969460788766,0.0016908756802477805
16,1406.198832988739,2.0505733489990234,0.421357265007235,0.683828542026015,1.0,0.1,0.068,3,0.9,"{'subsample': 0.9, 'learning_rate': 0.068, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'gamma': 0.1}",20,0.4243872495286535,0.6811883358912519,0.4207849155886867,0.6812680873454354,0.4188993641745231,0.6890292028413575,3.5629965158459833,0.20438998393696609,0.0022766947635059504,0.003677566655710502
17,1466.412900686264,1.7338167031606038,0.4199979537249514,0.6695777706751723,1.0,0.1,0.068,3,1.0,"{'subsample': 1.0, 'learning_rate': 0.068, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'gamma': 0.1}",32,0.42364186433989565,0.6719140539355405,0.4170576627932471,0.670678768745067,0.41929401447051085,0.6661404893449092,4.296737243072965,0.04328828137751256,0.0027337053547821233,0.0024822918956724743
18,1392.9188846747081,1.7528209686279297,0.42254118128535306,0.6760380912695577,1.0,0.1,0.068,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.068, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'gamma': 0.1}",4,0.42565878896829923,0.6741284805963604,0.42174961631221225,0.6723888450407788,0.42021486516114887,0.6815969481715338,9.191322820289715,0.0214724404517104,0.002291883593264813,0.0039943502190841855
19,1464.9214887619019,1.8465755780537922,0.4210795562506395,0.6645936105045344,1.0,0.1,0.068,5,1.0,"{'subsample': 1.0, 'learning_rate': 0.068, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'gamma': 0.1}",28,0.42460648046652344,0.6656434992326244,0.4209603157202368,0.6621283872665088,0.41767156325367244,0.6660089450144698,2.8479240180210548,0.1023875823922611,0.00283244395763958,0.0017495488684883059
20,1418.1433966954548,1.8105800151824951,0.42100647499890376,0.6929052556069869,1.0,0.1,0.071,3,0.9,"{'subsample': 0.9, 'learning_rate': 0.071, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'gamma': 0.1}",29,0.4252203270925593,0.6917781188335891,0.4205218153913615,0.6894676839428221,0.4172769129576847,0.6974699640445496,2.367473636641914,0.027973263025757797,0.0032609662207417514,0.0033627319930958363
21,1462.4198437531788,1.7919175624847412,0.4212549512548051,0.6773170861328204,1.0,0.1,0.071,3,1.0,"{'subsample': 1.0, 'learning_rate': 0.071, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'gamma': 0.1}",23,0.42640417415705706,0.6803990352992765,0.4186801140100855,0.6771025168815225,0.4186801140100855,0.674449706217662,8.378971993118045,0.06268462491626382,0.0036412100887042403,0.0024335377680841375
